partida_id,rodada,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,faltas_por_amarelo,faltas_por_vermelho
8790,1,Mirassol,13,7,56%,411,89%,21,3,0,2,6,"7,0","0,0"
8802,2,Mirassol,16,4,59%,486,91%,14,2,0,5,8,"7,0","0,0"
8810,3,Mirassol,5,3,45%,346,90%,11,5,0,3,2,"2,2","0,0"
8819,4,Mirassol,9,6,49%,324,90%,12,2,0,1,2,"6,0","0,0"
8829,5,Mirassol,20,7,56%,421,88%,9,2,0,0,3,"4,5","0,0"
8837,6,Mirassol,17,6,35%,234,83%,9,4,0,1,9,"2,25","0,0"
8854,7,Mirassol,12,4,48%,441,87%,12,3,0,0,4,"4,0","0,0"
8859,8,Mirassol,11,4,44%,270,90%,12,2,0,4,4,"6,0","0,0"
8874,9,Mirassol,7,2,40%,310,85%,9,4,0,3,2,"2,25","0,0"
8877,10,Mirassol,6,2,52%,425,91%,10,1,0,1,4,"10,0","0,0"
8888,11,Mirassol,11,4,49%,388,88%,9,4,0,1,2,"2,25","0,0"
8916,14,Mirassol,1,1,50%,319,84%,17,3,0,2,3,"5,67","0,0"
8928,15,Mirassol,16,10,45%,343,87%,16,1,1,3,9,"16,0","16,0"
8937,16,Mirassol,3,2,44%,338,90%,10,3,0,1,6,"3,33","0,0"
8949,17,Mirassol,14,7,51%,355,88%,12,2,0,0,8,"6,0","0,0"
8957,18,Mirassol,11,5,39%,334,88%,10,0,0,2,4,"0,0","0,0"
8968,19,Mirassol,10,5,45%,364,89%,12,1,0,1,10,"12,0","0,0"
8985,20,Mirassol,20,5,51%,300,84%,16,3,0,2,7,"5,33","0,0"
8992,21,Mirassol,8,4,52%,393,89%,11,2,0,1,3,"5,5","0,0"
9002,22,Mirassol,11,8,39%,310,89%,13,0,0,2,4,"0,0","0,0"
9007,23,Mirassol,12,5,44%,342,88%,14,2,0,0,3,"7,0","0,0"
8902,12,Mirassol,12,5,49%,358,87%,10,1,0,1,5,"10,0","0,0"
9020,24,Mirassol,13,4,56%,420,90%,10,1,0,1,4,"10,0","0,0"
9029,25,Mirassol,20,4,68%,515,93%,7,3,0,2,11,"2,33","0,0"
9038,26,Mirassol,18,7,61%,401,90%,13,2,0,2,12,"6,5","0,0"
9049,27,Mirassol,17,1,64%,392,90%,13,3,0,1,6,"4,33","0,0"
8914,13,Mirassol,11,6,47%,282,86%,12,3,0,3,5,"4,0","0,0"
9058,28,Mirassol,15,6,55%,495,90%,11,3,0,2,9,"3,67","0,0"
9070,29,Mirassol,12,8,38%,280,87%,9,3,0,0,3,"3,0","0,0"
9079,30,Mirassol,9,6,66%,521,95%,7,2,0,3,1,"3,5","0,0"
9088,31,Mirassol,8,1,64%,500,91%,12,1,0,1,7,"12,0","0,0"
9103,32,Mirassol,9,2,57%,387,88%,10,2,0,3,3,"5,0","0,0"
9115,33,Mirassol,10,4,59%,392,87%,11,3,0,2,8,"3,67","0,0"
9128,34,Mirassol,15,3,51%,425,89%,11,2,0,1,7,"5,5","0,0"
9143,35,Mirassol,7,5,59%,461,92%,9,2,0,3,6,"4,5","0,0"
9153,36,Mirassol,15,6,74%,585,93%,10,2,0,3,9,"5,0","0,0"
9118,37,Mirassol,9,5,56%,383,91%,7,3,0,2,1,"2,33","0,0"
9156,38,Mirassol,13,8,61%,476,92%,10,1,0,4,2,"10,0","0,0"
