partida_id,rodada,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
8790,1,Cruzeiro,8,2,44%,344,88%,12,4,0,1,2
8802,2,Fortaleza,7,3,41%,217,77%,10,3,0,3,1
8810,3,Bahia,14,2,55%,451,93%,11,2,0,2,10
8819,4,Gremio,11,4,51%,478,93%,14,4,0,0,7
8829,5,Juventude,16,5,44%,338,85%,16,2,0,1,5
8837,6,Atletico-MG,17,8,65%,358,89%,5,2,0,3,7
8854,7,Bragantino,15,4,52%,458,91%,9,2,0,1,4
8859,8,Corinthians,10,3,56%,473,91%,17,5,0,0,5
8874,9,Internacional,24,13,60%,558,92%,10,2,0,1,6
8877,10,Sao Paulo,11,3,48%,461,88%,18,4,0,0,5
8888,11,Sport,11,5,51%,414,87%,21,1,0,0,7
8916,14,Palmeiras,18,5,50%,330,92%,13,1,0,2,7
8928,15,Santos,8,0,55%,454,91%,9,1,0,2,2
8937,16,Ceara,23,8,56%,406,88%,13,2,0,1,14
8949,17,Vitoria,14,7,49%,353,86%,14,1,0,2,5
8957,18,Vasco,12,6,61%,564,94%,14,1,0,0,4
8968,19,Flamengo,25,9,55%,340,91%,22,1,0,0,11
8985,20,Cruzeiro,9,3,49%,316,85%,12,4,0,2,2
8992,21,Fortaleza,12,6,48%,352,91%,15,4,0,2,11
9002,22,Bahia,13,5,61%,471,92%,7,0,0,0,2
9007,23,Gremio,11,5,56%,451,94%,13,2,0,1,6
8902,12,Botafogo-RJ,13,4,51%,431,91%,17,4,0,1,6
9020,24,Juventude,11,3,44%,409,89%,10,2,0,0,11
9029,25,Atletico-MG,10,5,32%,195,86%,11,4,1,0,4
9038,26,Bragantino,12,3,39%,238,87%,17,3,0,0,5
9049,27,Corinthians,10,3,36%,213,81%,16,3,0,0,2
8914,13,Fluminense,9,3,53%,385,87%,13,4,0,0,5
9058,28,Internacional,6,2,45%,362,90%,18,2,0,1,2
9070,29,Sao Paulo,12,5,62%,519,92%,14,3,0,5,7
9079,30,Sport,7,3,34%,294,87%,6,1,1,1,7
9088,31,Botafogo-RJ,8,1,36%,236,86%,22,4,0,0,2
9103,32,Fluminense,14,6,43%,299,86%,21,4,0,1,4
9115,33,Palmeiras,9,6,41%,276,86%,13,2,0,0,8
9128,34,Santos,16,7,49%,392,89%,11,1,0,2,5
9143,35,Ceara,10,3,41%,399,93%,10,2,0,3,12
9153,36,Vitoria,12,2,26%,159,86%,14,1,0,0,3
9118,37,Vasco,16,7,44%,421,90%,21,2,0,0,10
9156,38,Flamengo,16,6,39%,231,90%,10,1,0,1,3
